Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
GO_BP,Response To Peptidoglycan (GO:0032494),7.478193e-03,2.523586e-02,842.66,1,IL6,SILTUXIMAB,No
GO_BP,Positive Regulation Of Cholesterol Biosynthetic Process (GO:0045542),7.478193e-03,2.523586e-02,842.66,1,PRKAA1,Metformin,No
GO_BP,Signal Complex Assembly (GO:0007172),7.478193e-03,2.523586e-02,842.66,1,SRC,Dasatinib,No
GO_BP,Positive Regulation Of Focal Adhesion Disassembly (GO:0120183),7.478193e-03,2.523586e-02,842.66,1,PIK3R1,DACTOLISIB; GEDATOLISIB,No
GO_BP,Inflammatory Response To Wounding (GO:0090594),7.478193e-03,2.523586e-02,842.66,1,IL6,SILTUXIMAB,Yes
GO_BP,Positive Regulation Of Sterol Biosynthetic Process (GO:0106120),7.478193e-03,2.523586e-02,842.66,1,PRKAA1,Metformin,No
GO_BP,Leukocyte Apoptotic Process (GO:0071887),7.478193e-03,2.523586e-02,842.66,1,IL6,SILTUXIMAB,No
GO_BP,Regulation Of Apoptotic DNA Fragmentation (GO:1902510),7.478193e-03,2.523586e-02,842.66,1,IL6,SILTUXIMAB,No
Reactome,RAC2 GTPase Cycle R-HSA-9013404,7.518067e-03,2.291798e-02,81.72,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Positive Regulation Of Apoptotic Process (GO:0043065),7.546231e-03,2.538278e-02,40.07,3,IL6; BCL2; SIRT1,Resveratrol; SILTUXIMAB; VENETOCLAX,No
Reactome,RAF/MAP Kinase Cascade R-HSA-5673001,7.623041e-03,2.305207e-02,39.83,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Regulation Of Endothelial Cell Migration (GO:0010594),7.685775e-03,2.576849e-02,80.40,2,ABL1; EPHA2,Dasatinib,No
Reactome,Mitochondrial Biogenesis R-HSA-1592230,7.855172e-03,2.356552e-02,79.12,2,PRKAA2; SIRT3,Metformin; Resveratrol,Yes
GO_BP,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),7.855172e-03,2.625148e-02,79.12,2,RPTOR; IL6,Rapamycin; SILTUXIMAB,No
GO_BP,Regulation Of Actin Cytoskeleton Organization (GO:0032956),8.199014e-03,2.731247e-02,76.65,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,Small cell lung cancer,8.373448e-03,1.596797e-02,75.46,2,BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; VENETOCLAX,No
GO_BP,Regulation Of Transcription By RNA Polymerase II (GO:0006357),8.400112e-03,2.740461e-02,15.44,8,MGAM; IL6; NAMPT; ABL1; PPARG; PIK3R1; SIRT1; NFE2L2,Acarbose; BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,No
KEGG,Rheumatoid arthritis,8.549552e-03,1.611640e-02,74.30,2,IL6; FLT1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SILTUXIMAB,No
Reactome,RAC3 GTPase Cycle R-HSA-9013423,8.549552e-03,2.534146e-02,74.30,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),8.549552e-03,2.740461e-02,74.30,2,RPTOR; IL6,Rapamycin; SILTUXIMAB,No
Reactome,SARS-CoV-2 Infection R-HSA-9694516,8.581236e-03,2.534146e-02,37.18,3,BECN1; GANAB; MAP1LC3B,Acarbose; Spermidine,No
GO_BP,Peptidyl-Lysine Modification (GO:0018205),8.727318e-03,2.740461e-02,73.17,2,SIRT1; SIRT3,Resveratrol,No
GO_BP,Cellular Response To Hormone Stimulus (GO:0032870),8.727318e-03,2.740461e-02,73.17,2,GHR; SRC,Dasatinib; SOMATROPIN,No
GO_BP,Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),8.906744e-03,2.740461e-02,72.07,2,STK11; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE,No
Reactome,Activated NTRK2 Signals Thru FYN R-HSA-9032500,8.967338e-03,2.567919e-02,649.09,1,SRC,Dasatinib,No
Reactome,Activated NTRK2 Signals Thru PI3K R-HSA-9028335,8.967338e-03,2.567919e-02,649.09,1,PIK3R1,DACTOLISIB; GEDATOLISIB,Yes
Reactome,MET Activates PI3K/AKT Signaling R-HSA-8851907,8.967338e-03,2.567919e-02,649.09,1,PIK3R1,DACTOLISIB; GEDATOLISIB,Yes
Reactome,FGFR1b Ligand Binding And Activation R-HSA-190370,8.967338e-03,2.567919e-02,649.09,1,FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Regulation Of Cellular Response To Insulin Stimulus (GO:1900076),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor (GO:2000544),8.967338e-03,2.740461e-02,649.09,1,FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Negative Regulation Of miRNA Processing (GO:1903799),8.967338e-03,2.740461e-02,649.09,1,IL6,SILTUXIMAB,No
GO_BP,Negative Regulation Of Response To Reactive Oxygen Species (GO:1901032),8.967338e-03,2.740461e-02,649.09,1,NFE2L2,BARDOXOLONE METHYL,No
GO_BP,Negative Regulation Of Response To Type II Interferon (GO:0060331),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Aggrephagy (GO:0035973),8.967338e-03,2.740461e-02,649.09,1,ATG5,Spermidine,No
GO_BP,Angiotensin-Activated Signaling Pathway (GO:0038166),8.967338e-03,2.740461e-02,649.09,1,SRC,Dasatinib,No
GO_BP,Negative Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060336),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Regulation Of Prostaglandin Biosynthetic Process (GO:0031392),8.967338e-03,2.740461e-02,649.09,1,SIRT1,Resveratrol,No
GO_BP,Cellular Response To Laminar Fluid Shear Stress (GO:0071499),8.967338e-03,2.740461e-02,649.09,1,NFE2L2,BARDOXOLONE METHYL,No
GO_BP,Positive Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903071),8.967338e-03,2.740461e-02,649.09,1,NFE2L2,BARDOXOLONE METHYL,Yes
GO_BP,Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process (GO:1905459),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Positive Regulation Of Gliogenesis (GO:0014015),8.967338e-03,2.740461e-02,649.09,1,IL6,SILTUXIMAB,No
GO_BP,Positive Regulation Of Lamellipodium Morphogenesis (GO:2000394),8.967338e-03,2.740461e-02,649.09,1,SRC,Dasatinib,No
GO_BP,Positive Regulation Of Multicellular Organism Growth (GO:0040018),8.967338e-03,2.740461e-02,649.09,1,GHR,SOMATROPIN,No
GO_BP,Glycogen Catabolic Process (GO:0005980),8.967338e-03,2.740461e-02,649.09,1,GAA,Acarbose,No
GO_BP,Positive Regulation Of Synaptic Plasticity (GO:0031915),8.967338e-03,2.740461e-02,649.09,1,EPHB2,Dasatinib,No
GO_BP,Intracellular Triglyceride Homeostasis (GO:0035356),8.967338e-03,2.740461e-02,649.09,1,SIRT1,Resveratrol,No
GO_BP,Macrophage Derived Foam Cell Differentiation (GO:0010742),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,rDNA Heterochromatin Formation (GO:0000183),8.967338e-03,2.740461e-02,649.09,1,SIRT1,Resveratrol,No
GO_BP,Regulation Of Adiponectin Secretion (GO:0070163),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Regulation Of Bile Acid Metabolic Process (GO:1904251),8.967338e-03,2.740461e-02,649.09,1,SIRT1,Resveratrol,No
GO_BP,Regulation Of Cardiac Muscle Hypertrophy In Response To Stress (GO:1903242),8.967338e-03,2.740461e-02,649.09,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),9.087823e-03,2.769113e-02,71.00,2,SRC; SIRT1,Dasatinib; Resveratrol,No
KEGG,Fc gamma R-mediated phagocytosis,9.270552e-03,1.727694e-02,69.95,2,RPS6KB1; PIK3R1,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Protein Localization (GO:0032880),9.270552e-03,2.816508e-02,69.95,2,PRKAA1; PRKAA2,Metformin,No
KEGG,Inflammatory mediator regulation of TRP channels,9.454923e-03,1.742256e-02,68.93,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,Yes
GO_BP,Regulation Of Intracellular Signal Transduction (GO:1902531),9.785286e-03,2.911473e-02,34.41,3,STK11; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
KEGG,Progesterone-mediated oocyte maturation,9.828578e-03,1.790985e-02,66.95,2,PIK3R1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN,No
Reactome,KEAP1-NFE2L2 Pathway R-HSA-9755511,9.828578e-03,2.793385e-02,66.95,2,MAP1LC3B; NFE2L2,BARDOXOLONE METHYL; Spermidine,Yes
KEGG,Amoebiasis,1.020875e-02,1.819820e-02,65.07,2,IL6; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB,No
KEGG,Chagas disease,1.020875e-02,1.819820e-02,65.07,2,IL6; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB,No
GO_BP,Regulation Of Collateral Sprouting (GO:0048670),1.045432e-02,2.911473e-02,523.28,1,ULK1,Spermidine,No
GO_BP,Regulation Of Endodeoxyribonuclease Activity (GO:0032071),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Negative Regulation Of miRNA-mediated Gene Silencing (GO:0060965),1.045432e-02,2.911473e-02,523.28,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Negative Regulation Of Peptidyl-Lysine Acetylation (GO:2000757),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Regulation Of Hydrogen Peroxide-Induced Cell Death (GO:1903205),1.045432e-02,2.911473e-02,523.28,1,NFE2L2,BARDOXOLONE METHYL,No
GO_BP,T-helper 17 Cell Lineage Commitment (GO:0072540),1.045432e-02,2.911473e-02,523.28,1,IL6,SILTUXIMAB,No
GO_BP,Regulation Of Lipoprotein Metabolic Process (GO:0050746),1.045432e-02,2.911473e-02,523.28,1,ULK1,Spermidine,No
GO_BP,Regulation Of Myeloid Leukocyte Differentiation (GO:0002761),1.045432e-02,2.911473e-02,523.28,1,MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Nucleolar Chromatin Organization (GO:1990700),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357),1.045432e-02,2.911473e-02,523.28,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,Yes
GO_BP,Cellular Response To Leptin Stimulus (GO:0044320),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia (GO:0061418),1.045432e-02,2.911473e-02,523.28,1,NFE2L2,BARDOXOLONE METHYL,No
GO_BP,"Regulation Of Wound Healing, Spreading Of Epidermal Cells (GO:1903689)",1.045432e-02,2.911473e-02,523.28,1,MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of T-helper 2 Cell Cytokine Production (GO:2000553),1.045432e-02,2.911473e-02,523.28,1,IL6,SILTUXIMAB,No
GO_BP,Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:1902425),1.045432e-02,2.911473e-02,523.28,1,BECN1,Spermidine,No
GO_BP,Dendritic Spine Maintenance (GO:0097062),1.045432e-02,2.911473e-02,523.28,1,IGF1R,MECASERMIN,No
GO_BP,Single Strand Break Repair (GO:0000012),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Positive Regulation Of Extracellular Matrix Disassembly (GO:0090091),1.045432e-02,2.911473e-02,523.28,1,IL6,SILTUXIMAB,No
GO_BP,Positive Regulation Of Gluconeogenesis (GO:0045722),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Stress-Induced Premature Senescence (GO:0090400),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,Yes
GO_BP,Foam Cell Differentiation (GO:0090077),1.045432e-02,2.911473e-02,523.28,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Taurine Metabolic Process (GO:0019530),1.045432e-02,2.911473e-02,523.28,1,GHR,SOMATROPIN,No
GO_BP,Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
GO_BP,Late Nucleophagy (GO:0044805),1.045432e-02,2.911473e-02,523.28,1,ULK1,Spermidine,No
GO_BP,Lens Fiber Cell Development (GO:0070307),1.045432e-02,2.911473e-02,523.28,1,EPHA2,Dasatinib,No
GO_BP,Regulation Of Cdc42 Protein Signal Transduction (GO:0032489),1.045432e-02,2.911473e-02,523.28,1,ABL1,Dasatinib,No
GO_BP,Myeloid Leukocyte Mediated Immunity (GO:0002444),1.045432e-02,2.911473e-02,523.28,1,IL6,SILTUXIMAB,No
GO_BP,Negative Regulation Of SMAD Protein Signal Transduction (GO:0060392),1.045432e-02,2.911473e-02,523.28,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:1902423),1.045432e-02,2.911473e-02,523.28,1,BECN1,Spermidine,No
GO_BP,Negative Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000480),1.045432e-02,2.911473e-02,523.28,1,SIRT1,Resveratrol,No
KEGG,Toll-like receptor signaling pathway,1.059539e-02,1.868435e-02,63.27,2,IL6; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB,No
GO_BP,Positive Regulation Of Vasculature Development (GO:1904018),1.059539e-02,2.942849e-02,63.27,2,FLT1; SIRT1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol,No
Reactome,Integration Of Energy Metabolism R-HSA-163685,1.079113e-02,3.044065e-02,62.40,2,STK11; PRKAA2,Metformin,No
GO_BP,Cellular Response To Organonitrogen Compound (GO:0071417),1.079113e-02,2.989201e-02,62.40,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,"Parathyroid hormone synthesis, secretion and action",1.098847e-02,1.917138e-02,61.55,2,BCL2; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; VENETOCLAX,No
GO_BP,Response To Calcium Ion (GO:0051592),1.098847e-02,3.035749e-02,61.55,2,PRKAA1; PRKAA2,Metformin,No
KEGG,Th17 cell differentiation,1.118741e-02,1.931301e-02,60.72,2,IL6; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Response To Tumor Necrosis Factor (GO:0034612),1.138795e-02,3.137743e-02,59.90,2,SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol,No
GO_BP,Cellular Response To Salt (GO:1902075),1.159007e-02,3.139151e-02,59.11,2,PRKAA1; PRKAA2,Metformin,No
GO_BP,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),1.159007e-02,3.139151e-02,59.11,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
Reactome,Membrane Trafficking R-HSA-199991,1.176643e-02,3.223571e-02,22.26,4,MAP1LC3B; PRKAA2; SRC; ULK1,Dasatinib; Metformin; Spermidine,No
Reactome,VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399,1.193915e-02,3.223571e-02,435.44,1,FLT1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
Reactome,InlA-mediated Entry Of Listeria Monocytogenes Into Host Cells R-HSA-8876493,1.193915e-02,3.223571e-02,435.44,1,SRC,Dasatinib,No
Reactome,Role Of ABL In ROBO-SLIT Signaling R-HSA-428890,1.193915e-02,3.223571e-02,435.44,1,ABL1,Dasatinib,No
Reactome,SHC-related Events Triggered By IGF1R R-HSA-2428933,1.193915e-02,3.223571e-02,435.44,1,IGF1R,MECASERMIN,Yes
Reactome,Netrin Mediated Repulsion Signals R-HSA-418886,1.193915e-02,3.223571e-02,435.44,1,SRC,Dasatinib,No
GO_BP,Regulation Of Glial Cell Proliferation (GO:0060251),1.193915e-02,3.139151e-02,435.44,1,IL6,SILTUXIMAB,No
GO_BP,Regulation Of Helicase Activity (GO:0051095),1.193915e-02,3.139151e-02,435.44,1,SIRT1,Resveratrol,No
GO_BP,T-helper 17 Cell Differentiation (GO:0072539),1.193915e-02,3.139151e-02,435.44,1,IL6,SILTUXIMAB,No
GO_BP,Negative Regulation Of Triglyceride Metabolic Process (GO:0090209),1.193915e-02,3.139151e-02,435.44,1,SIRT1,Resveratrol,No
GO_BP,Nicotinamide Nucleotide Biosynthetic Process (GO:0019359),1.193915e-02,3.139151e-02,435.44,1,NAMPT,Resveratrol,No
GO_BP,Bone Resorption (GO:0045453),1.193915e-02,3.139151e-02,435.44,1,SRC,Dasatinib,No
GO_BP,Positive Regulation Of Adaptive Immune Response (GO:0002821),1.193915e-02,3.139151e-02,435.44,1,SIRT1,Resveratrol,No
GO_BP,Commissural Neuron Axon Guidance (GO:0071679),1.193915e-02,3.139151e-02,435.44,1,EPHB2,Dasatinib,No
GO_BP,Response To Leptin (GO:0044321),1.193915e-02,3.139151e-02,435.44,1,SIRT1,Resveratrol,No
GO_BP,Positive Regulation Of Macrophage Cytokine Production (GO:0060907),1.193915e-02,3.139151e-02,435.44,1,SIRT1,Resveratrol,No
GO_BP,Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393),1.193915e-02,3.139151e-02,435.44,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Intestinal Epithelial Cell Differentiation (GO:0060575),1.193915e-02,3.139151e-02,435.44,1,SRC,Dasatinib,No
GO_BP,Leptin-Mediated Signaling Pathway (GO:0033210),1.193915e-02,3.139151e-02,435.44,1,SIRT1,Resveratrol,No
GO_BP,Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903069),1.193915e-02,3.139151e-02,435.44,1,NFE2L2,BARDOXOLONE METHYL,Yes
GO_BP,Negative Regulation Of Cholesterol Storage (GO:0010887),1.193915e-02,3.139151e-02,435.44,1,PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE,No
GO_BP,Negative Regulation Of Inflammatory Response (GO:0050728),1.199907e-02,3.139151e-02,57.56,2,SRC; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; ROSIGLITAZONE,Yes
GO_BP,Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),1.199907e-02,3.139151e-02,57.56,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Cytoskeleton Organization (GO:0007010),1.199907e-02,3.139151e-02,57.56,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,TNF signaling pathway,1.220593e-02,2.085180e-02,56.82,2,IL6; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB,No
GO_BP,Negative Regulation Of Defense Response (GO:0031348),1.220593e-02,3.185226e-02,56.82,2,PPARG; ATG5,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Spermidine,No
KEGG,Cholinergic synapse,1.241437e-02,2.098924e-02,56.09,2,BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; VENETOCLAX,No
Reactome,Signaling By NTRK1 (TRKA) R-HSA-187037,1.262436e-02,3.384404e-02,55.37,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Response To Endoplasmic Reticulum Stress (GO:0034976),1.262436e-02,3.286141e-02,55.37,2,BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; VENETOCLAX,No
KEGG,Human papillomavirus infection,1.310474e-02,2.193038e-02,28.84,3,RPS6KB1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
Reactome,PI3K/AKT Activation R-HSA-198203,1.342183e-02,3.428008e-02,370.92,1,PIK3R1,DACTOLISIB; GEDATOLISIB,Yes
Reactome,BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453,1.342183e-02,3.428008e-02,370.92,1,BCL2,VENETOCLAX,Yes
Reactome,CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834,1.342183e-02,3.428008e-02,370.92,1,IL6,SILTUXIMAB,Yes
Reactome,Regulation Of Commissural Axon Pathfinding By SLIT And ROBO R-HSA-428542,1.342183e-02,3.428008e-02,370.92,1,SRC,Dasatinib,No
Reactome,Lipophagy R-HSA-9613354,1.342183e-02,3.428008e-02,370.92,1,PRKAA2,Metformin,No
Reactome,MAPK1 (ERK2) Activation R-HSA-112411,1.342183e-02,3.428008e-02,370.92,1,IL6,SILTUXIMAB,No
Reactome,Downregulation Of ERBB4 Signaling R-HSA-1253288,1.342183e-02,3.428008e-02,370.92,1,SRC,Dasatinib,No
GO_BP,Regulation Of Cellular Response To Oxidative Stress (GO:1900407),1.342183e-02,3.326559e-02,370.92,1,NFE2L2,BARDOXOLONE METHYL,Yes
GO_BP,Regulation Of Ceramide Biosynthetic Process (GO:2000303),1.342183e-02,3.326559e-02,370.92,1,SIRT3,Resveratrol,No
GO_BP,Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101),1.342183e-02,3.326559e-02,370.92,1,PIK3R1,DACTOLISIB; GEDATOLISIB,No
GO_BP,Regulation Of Histone Methylation (GO:0031060),1.342183e-02,3.326559e-02,370.92,1,SIRT1,Resveratrol,No
GO_BP,Negative Regulation Of Telomerase Activity (GO:0051974),1.342183e-02,3.326559e-02,370.92,1,SRC,Dasatinib,No
GO_BP,Regulation Of Protein Acetylation (GO:1901983),1.342183e-02,3.326559e-02,370.92,1,SIRT1,Resveratrol,No
GO_BP,Regulation Of Protein Lipidation (GO:1903059),1.342183e-02,3.326559e-02,370.92,1,ULK1,Spermidine,No
GO_BP,Peptidyl-Lysine Acetylation (GO:0018394),1.342183e-02,3.326559e-02,370.92,1,SIRT1,Resveratrol,No
GO_BP,Piecemeal Microautophagy Of The Nucleus (GO:0034727),1.342183e-02,3.326559e-02,370.92,1,ULK1,Spermidine,Yes
GO_BP,Regulation Of Transmembrane Transporter Activity (GO:0022898),1.342183e-02,3.326559e-02,370.92,1,BCL2,VENETOCLAX,No
GO_BP,Response To Laminar Fluid Shear Stress (GO:0034616),1.342183e-02,3.326559e-02,370.92,1,NFE2L2,BARDOXOLONE METHYL,No
GO_BP,Positive Regulation Of Hippo Signaling (GO:0035332),1.342183e-02,3.326559e-02,370.92,1,SRC,Dasatinib,No
GO_BP,Positive Regulation Of Keratinocyte Migration (GO:0051549),1.342183e-02,3.326559e-02,370.92,1,MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108),1.342183e-02,3.326559e-02,370.92,1,SIRT1,Resveratrol,No
GO_BP,Positive Regulation Of Lipase Activity (GO:0060193),1.342183e-02,3.326559e-02,370.92,1,FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Positive Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901838),1.342183e-02,3.326559e-02,370.92,1,MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Lipid Import Into Cell (GO:0140354),1.342183e-02,3.326559e-02,370.92,1,RPS6KB1,Rapamycin,No
GO_BP,Long-Chain Fatty Acid Import Into Cell (GO:0044539),1.342183e-02,3.326559e-02,370.92,1,RPS6KB1,Rapamycin,No
GO_BP,Regulation Of Bile Acid Biosynthetic Process (GO:0070857),1.342183e-02,3.326559e-02,370.92,1,SIRT1,Resveratrol,No
GO_BP,Negative Regulation Of Bone Resorption (GO:0045779),1.342183e-02,3.326559e-02,370.92,1,IL6,SILTUXIMAB,No
KEGG,Sphingolipid signaling pathway,1.369766e-02,2.269107e-02,52.00,2,BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; VENETOCLAX,No
Reactome,Transcriptional Regulation By RUNX2 R-HSA-8878166,1.369766e-02,3.474976e-02,52.00,2,SRC; ABL1,Dasatinib,No
GO_BP,Regulation Of Protein Kinase Activity (GO:0045859),1.369766e-02,3.362743e-02,52.00,2,EPHB2; SIRT1,Dasatinib; Resveratrol,No
GO_BP,Regulation Of Protein-Containing Complex Assembly (GO:0043254),1.369766e-02,3.362743e-02,52.00,2,SRC; ULK1,Dasatinib; Spermidine,No
GO_BP,Cellular Response To Tumor Necrosis Factor (GO:0071356),1.369766e-02,3.362743e-02,52.00,2,SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol,No
GO_BP,Positive Regulation Of Angiogenesis (GO:0045766),1.369766e-02,3.362743e-02,52.00,2,FLT1; SIRT1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol,Yes
Reactome,Cell-Cell Communication R-HSA-1500931,1.391694e-02,3.507070e-02,51.37,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Rab Regulation Of Trafficking R-HSA-9007101,1.436011e-02,3.594782e-02,50.14,2,MAP1LC3B; ULK1,Spermidine,No
Reactome,Vesicle-mediated Transport R-HSA-5653656,1.447613e-02,3.599985e-02,19.90,4,MAP1LC3B; PRKAA2; SRC; ULK1,Dasatinib; Metformin; Spermidine,No
KEGG,Platelet activation,1.480936e-02,2.428734e-02,48.95,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
