Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
Reactome,Costimulation By CD28 Family R-HSA-388841,3.132721e-06,6.872492e-05,606.44,4,SRC; RICTOR; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
KEGG,Non-alcoholic fatty liver disease,3.193420e-06,2.270066e-05,334.41,5,IL6; PRKAA1; PRKAA2; PPARG; PIK3R1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; Metformin; ROSIGLITAZONE; SILTUXIMAB,No
KEGG,Adipocytokine signaling pathway,3.322048e-06,2.270066e-05,594.32,4,PRKAA1; STK11; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
Reactome,Regulation Of TP53 Activity R-HSA-5633007,3.400580e-06,6.872492e-05,328.34,5,PRKAA1; STK11; PRKAA2; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
Reactome,Disease R-HSA-1643685,3.454427e-06,6.872492e-05,88.73,12,BECN1; IL6; GANAB; MAP1LC3B; SRC; GAA; ABL1; RICTOR; PIK3R1; MTOR; FGFR1; NFE2L2,Acarbose; BARDOXOLONE METHYL; DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; SILTUXIMAB; Spermidine,No
KEGG,Central carbon metabolism in cancer,3.519722e-06,2.308937e-05,582.60,4,PIK3R1; MTOR; SIRT3; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Resveratrol,No
GO_BP,Cellular Response To Hypoxia (GO:0071456),3.941052e-06,7.228337e-05,560.32,4,RPTOR; PPARG; SIRT1; MTOR,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; ROSIGLITAZONE; Rapamycin; Resveratrol,No
KEGG,JAK-STAT signaling pathway,3.964904e-06,2.500940e-05,313.93,5,GHR; IL6; BCL2; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB; SOMATROPIN; VENETOCLAX,Yes
GO_BP,Regulation Of Lipid Storage (GO:0010883),3.976981e-06,7.228337e-05,1531.50,3,IL6; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,No
Reactome,Extra-nuclear Estrogen Signaling R-HSA-9009391,4.165185e-06,7.872200e-05,549.72,4,SRC; BCL2; PIK3R1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; VENETOCLAX,No
